"","No screening","0.648 0.496 POCT","0.576 0.496 POCT","0.504 0.496 POCT","0.648 0.64 POCT","0.576 0.64 POCT","0.504 0.64 POCT","0.648 0.784 POCT","0.576 0.784 POCT","0.504 0.784 POCT","0.9999 0 POCT","0.882 0.417 POCT","0.807 0.61 POCT","0.667 0.872 POCT","0.533 0.952 POCT","0.331 0.987 POCT"
"537",20.9557187314592,21.0744643475647,21.0446302760723,21.0222436458933,21.1253821321596,21.0846042272376,21.0529599704284,21.2354296870237,21.1766166803574,21.1269723193433,21.7017509188676,21.2623943001382,21.2493930207004,21.396067971009,21.5286295124118,21.6185725985567
"538",19.8189799466792,20.1788632230633,20.090490769858,20.0235124728317,20.3252486064662,20.2069921918734,20.1141243196931,20.6323135768681,20.4676250408786,20.3267214395068,21.8735993056386,20.7188692008816,20.677593466091,21.0661530007943,21.4137400081797,21.6501023027246
"539",18.6643928622075,19.0256439070338,18.9358655460547,18.868582820776,19.1740767797333,19.0522424968946,18.9582482173992,19.4967803387895,19.3190763394174,19.1717057018307,21.0780312853172,19.6082111561562,19.5548839195221,19.991986132935,20.4353283717599,20.7725397692493
"540",18.833039339642,19.2458467865161,19.1470355741805,19.0713488705296,19.4040773941902,19.2747885527911,19.1720231846581,19.7260897349541,19.5521745300454,19.401527012185,20.9845610329031,19.8318615027896,19.7819832663758,20.1682661234162,20.5145198946791,20.7531239735056
"541",20.5962734163416,20.8632839595668,20.8002594046344,20.7517175487354,20.9623204519909,20.8808213112939,20.8156490766177,21.1608104867859,21.0530381947128,20.9591642272456,21.9283440774849,21.2316818212787,21.1984510088663,21.430071556595,21.639273415495,21.7852953965334
"542",19.6265911196842,19.9567449069624,19.8752369290058,19.813711362637,20.0920589147728,19.98234093458,19.8967000463151,20.3796061122081,20.2242949489993,20.0927250070709,21.6078447637959,20.4645200410789,20.4239380794666,20.7965483481501,21.1417382403828,21.3833208943624
"543",18.3619325646374,18.8209541396727,18.705971293386,18.6194909735417,19.0169893835414,18.8603640403576,18.738388190677,19.4373426232518,19.2136560029653,19.023721695581,21.1604983591541,19.5371317094889,19.489089372563,20.0413094296827,20.5300465247378,20.8567445356317
"544",19.054440062081,19.390581226273,19.2991480587362,19.2326032848565,19.5664524954354,19.4316274558544,19.3304824594342,19.9830433127792,19.7661328941361,19.5890304892622,21.9078254132535,20.0114905889483,19.9966012372716,20.6406763917998,21.213585002789,21.5864516947518
"545",19.7971328211934,20.0181057434585,19.9592816720831,19.9161858076207,20.1273017732459,20.0422354123854,19.9780422214681,20.3815885107339,20.2475120043328,20.1377739860837,21.5777383936974,20.4143665802933,20.3978667875487,20.7821614761827,21.1350928723494,21.3722993375249
"546",20.6504810098988,20.7916032409907,20.7575657291807,20.7317096869031,20.8457038629202,20.8007907881078,20.7655655943863,20.9584365444317,20.8960528645746,20.8432955315309,21.4699545082643,21.0030041266313,20.9819804404002,21.123002108633,21.2629867749167,21.3691589797192
"547",20.8590740922545,20.9444998415872,20.9215049423374,20.9047856981393,20.9876565380723,20.9539302807028,20.9287711250208,21.0911816434516,21.0360406474901,20.9917814140641,21.639966735392,21.105020566593,21.0979809030737,21.2636224545346,21.4266019305068,21.541976897198
"548",18.5640367646249,19.3468438837132,19.1784236763425,19.0437589656816,19.583672355523,19.3809862760401,19.212070776246,20.0134276716444,19.7728565705278,19.5549991985686,21.546354881889,20.2349204067563,20.1347806298978,20.5478805335056,20.9342482942671,21.2285901543343
"549",19.2764682836423,19.7019588697303,19.5974643039481,19.5181283331175,19.8759146453924,19.7362328485065,19.6261648283106,20.2384617691697,20.0456160270084,19.8794637246831,21.6408757838242,20.3326239676995,20.2877246926798,20.7410073372569,21.1331595021275,21.3923247737416
"550",19.0208107997651,19.41818498198,19.3177714325116,19.2426977113776,19.5904864072583,19.452360060373,19.3457268093455,19.9674456057248,19.7652216100736,19.595879068807,21.633327119382,20.0607130185109,20.0155954387436,20.5294779623269,21.0054706314365,21.3349333298389
"551",18.9838898319484,19.2853716157238,19.2082265780128,19.1507466787092,19.4207085959004,19.3134529982848,19.2308646289878,19.7194071320773,19.5608989421386,19.428070981005,21.0043885859832,19.7799002669964,19.7504190546481,20.1627764061359,20.5326802341304,20.7804882986934
"552",18.4150196124641,18.9243845343702,18.794644800676,18.6977929911908,19.1505281126224,18.9709318714615,18.8323336721713,19.646787283302,19.3831712966104,19.1617308418017,21.7646640341325,19.7515956359413,19.700645717825,20.3791693884915,20.9873555099769,21.395300592435
"553",18.7552216445177,19.0398709770255,18.9646474250942,18.9094926655613,19.1774302145596,19.0692270765979,18.9876447262553,19.4979515405761,19.3271815841387,19.188155708154,21.0829553171276,19.5506805194732,19.5243678173667,20.0116555246283,20.4777538203121,20.8027789611869
"554",18.8473336921303,19.1959661657052,19.1098228276858,19.0451842378606,19.3365949758404,19.220307060925,19.1305382065651,19.6408604934213,19.4719523065039,19.3321195015554,21.1736437142337,19.7561416468539,19.7012041602725,20.1098798249136,20.5346037315999,20.8674296519315
"555",19.0039436850244,19.3631900656767,19.2695768716654,19.2005368818102,19.5308177125239,19.3980535487012,19.2972589073499,19.9140489713167,19.7092285199803,19.5411534946482,21.752726758665,19.98842357772,19.9517335852817,20.5158910538253,21.0521380189776,21.4263396133316
"556",20.0509738590674,20.2496449976473,20.1975349990192,20.1592321943589,20.3437231343507,20.2693044761927,20.2130569297062,20.5612323411287,20.4448263681755,20.3499108856946,21.6410084953716,20.6020924707986,20.5818724347677,20.9086000710209,21.2237968880987,21.4460948649229
"557",20.8819600045386,20.9834025148133,20.95599406564,20.9360698464038,21.0352509424284,20.9949489830434,20.9648590166258,21.1594476688813,21.0936853590403,21.0407104224427,21.7965492774903,21.1736438015325,21.1663765975404,21.3639053929865,21.553383111572,21.6845239878027
