"","No screening","0.648 0.496 POCT","0.576 0.496 POCT","0.504 0.496 POCT","0.648 0.64 POCT","0.576 0.64 POCT","0.504 0.64 POCT","0.648 0.784 POCT","0.576 0.784 POCT","0.504 0.784 POCT","0.9999 0 POCT","0.882 0.417 POCT","0.807 0.61 POCT","0.667 0.872 POCT","0.533 0.952 POCT","0.331 0.987 POCT"
"29",32043.3055179395,33698.2885414442,33299.6160470427,32998.4531767696,34353.424064048,33817.8554617413,33399.8277956236,35749.8310591345,34991.0375197043,34349.5986357482,41848.5690862124,36190.0235801008,35978.8128262703,37794.474896686,39525.4108516876,40792.0540176003
"30",28553.5979698618,31264.5206499069,30592.1551713159,30087.2112767207,32411.1665242473,31492.4274455965,30778.6601707933,34889.9231538771,33567.3142331528,32448.8654315181,45284.2055558505,35486.166573852,35197.4667356015,38497.6725748909,41476.1453734988,43523.2831452049
"31",29975.2083211359,32728.245041098,32081.4090532901,31587.4990063983,33736.7520604517,32892.2511060593,32226.0461582041,35810.8739615563,34657.0437032616,33675.6236269167,45102.6887290095,36690.5295747581,36276.9022185013,38801.5674273192,41329.5690278621,43297.989909534
"32",32930.3148697684,34440.4880333873,34068.1007799005,33789.9674980517,35069.8592436451,34558.1539502693,34164.4793903889,36460.1267974433,35703.7840233759,35076.3171518143,43074.9028555087,36863.0585559353,36667.5821688109,38595.2978161622,40494.9540012165,41907.6660287135
"33",29172.00873326,30514.942789785,30147.2928212312,29883.5957911133,31241.7801505363,30682.0569274522,30271.3491705878,33078.7682765062,32106.4393412396,31341.6873934731,43770.7140580422,33182.3396083358,33123.2208662482,36321.5938898561,39574.3759503791,41932.1372863197
"34",29319.0186787696,31250.3782771591,30721.2082227484,30341.0736198298,32290.087986967,31488.2461307899,30898.7928730921,34900.5496114528,33517.6464296147,32427.5554896171,49932.027708793,35073.6274783643,34977.5273322671,39478.7106049185,44041.4518704043,47335.5006940112
"35",28948.0226414618,31756.7717953585,31089.3349435287,30580.2015150342,32826.5828769252,31947.5819172189,31253.1776636828,35036.7068765935,33834.3213924034,32802.9640829359,44151.4620116268,35794.3160732589,35435.2080316707,38154.1719522034,40689.1042905527,42517.8997479959
"36",34284.7729516943,35841.0810373584,35437.0903132484,35141.3246692822,36574.594988595,35992.4484506399,35555.0910611879,38304.348927727,37374.5975522508,36623.9458762431,47416.331597614,38625.5505181623,38464.3863884324,41153.1565826266,43849.2036893601,45827.747165775
"37",41010.7906372107,41335.3189030911,41257.8064777,41200.7803347493,41471.2393205062,41360.6392115542,41277.2161130102,41792.8610994121,41617.7953055804,41476.3388858198,43538.2741782647,41868.5606715719,41830.2579284386,42327.7497240361,42850.7141302714,43267.5727557939
"38",30311.4664954707,32647.0756475036,32058.7596102563,31620.095329026,33673.4082893063,32856.5430253368,32227.3386950653,35942.3796220323,34735.1417348145,33724.2080541148,45794.3102039748,36421.6335790504,36187.163506037,39325.7690089229,42181.430547434,44144.5232819082
